Nombre;Tipo 1;Tipo 2;Ataque;Defensa;Velocidad;PS
Bulbasaur;Planta;Veneno;49;49;45;45
Ivysaur;Planta;Veneno;62;63;60;60
Venusaur;Planta;Veneno;82;83;80;80
Charmander;Fuego;;52;43;65;39
Charmeleon;Fuego;;64;58;80;58
Charizard;Fuego;Volador;84;78;100;78
Squirtle;Agua;;48;65;43;44
Wartortle;Agua;;63;80;58;59
Blastoise;Agua;;83;100;78;79
Caterpie;Bicho;;30;35;45;45
Metapod;Bicho;;20;55;30;50
Butterfree;Bicho;Volador;45;50;70;60
Weedle;Bicho;Veneno;35;30;50;40
Kakuna;Bicho;Veneno;25;50;35;45
Beedrill;Bicho;Veneno;90;40;75;65
Pidgey;Normal;Volador;45;40;56;40
Pidgeotto;Normal;Volador;60;55;71;63
Pidgeot;Normal;Volador;80;75;101;83
Rattata;Normal;;56;35;72;30
Raticate;Normal;;81;60;97;55
Spearow;Normal;Volador;60;30;70;40
Fearow;Normal;Volador;90;65;100;65
Ekans;Veneno;;60;44;55;35
Arbok;Veneno;;85;69;80;60
Pikachu;Electrico;;55;40;90;35
Raichu;Electrico;;90;55;110;60
Sandshrew;Tierra;;75;85;40;50
Sandslash;Tierra;;100;110;65;75
Nidoran?;Veneno;;47;52;41;55
Nidorina;Veneno;;62;67;56;70
Nidoqueen;Veneno;Tierra;82;87;76;90
Nidoran?;Veneno;;57;40;50;46
Nidorino;Veneno;;72;57;65;61
Nidoking;Veneno;Tierra;92;77;85;81
Clefairy;Hada;;45;48;35;70
Clefable;Hada;;70;73;60;95
Vulpix;Fuego;;41;40;65;38
Ninetales;Fuego;;76;75;100;73
Jigglypuff;Normal;Hada;45;20;20;115
Wigglytuff;Normal;Hada;70;45;45;140
Zubat;Veneno;Volador;45;35;55;40
Golbat;Veneno;Volador;80;70;90;75
Oddish;Planta;Veneno;50;55;30;45
Gloom;Planta;Veneno;65;70;40;60
Vileplume;Planta;Veneno;80;85;50;75
Paras;Bicho;Planta;70;55;25;35
Parasect;Bicho;Planta;95;80;30;60
Venonat;Bicho;Veneno;55;50;45;60
Venomoth;Bicho;Veneno;65;60;90;70
Diglett;Tierra;;55;25;95;10
Dugtrio;Tierra;;80;50;120;35
Meowth;Normal;;45;35;90;40
Persian;Normal;;70;60;115;65
Psyduck;Agua;;52;48;55;50
Golduck;Agua;;82;78;85;80
Mankey;Lucha;;80;35;70;40
Primeape;Lucha;;105;60;95;65
Growlithe;Fuego;;70;45;60;55
Arcanine;Fuego;;110;80;95;90
Poliwag;Agua;;50;40;90;40
Poliwhirl;Agua;;65;65;90;65
Poliwrath;Agua;Lucha;95;95;70;90
Abra;Psiquico;;20;15;90;25
Kadabra;Psiquico;;35;30;105;40
Alakazam;Psiquico;;50;45;120;55
Machop;Lucha;;80;50;35;70
Machoke;Lucha;;100;70;45;80
Machamp;Lucha;;130;80;55;90
Bellsprout;Planta;Veneno;75;35;40;50
Weepinbell;Planta;Veneno;90;50;55;65
Victreebel;Planta;Veneno;105;65;70;80
Tentacool;Agua;Veneno;40;35;70;40
Tentacruel;Agua;Veneno;70;65;100;80
Geodude;Roca;Tierra;80;100;20;40
Graveler;Roca;Tierra;95;115;35;55
Golem;Roca;Tierra;120;130;45;80
Ponyta;Fuego;;85;55;90;50
Rapidash;Fuego;;100;70;105;65
Slowpoke;Agua;Psiquico;65;65;15;90
Slowbro;Agua;Psiquico;75;110;30;95
Magnemite;Electrico;Acero;35;70;45;25
Magneton;Electrico;Acero;60;95;70;50
Farfetch'd;Normal;Volador;65;55;60;52
Doduo;Normal;Volador;85;45;75;35
Dodrio;Normal;Volador;110;70;100;60
Seel;Agua;;45;55;45;65
Dewgong;Agua;Hielo;70;80;70;90
Grimer;Veneno;;80;50;25;80
Muk;Veneno;;105;75;50;105
Shellder;Agua;;65;100;40;30
Cloyster;Agua;Hielo;95;180;70;50
Gastly;Fantasma;Veneno;35;30;80;30
Haunter;Fantasma;Veneno;50;45;95;45
Gengar;Fantasma;Veneno;65;60;110;60
Onix;Roca;Tierra;45;160;70;35
Drowzee;Psiquico;;48;45;42;60
Hypno;Psiquico;;73;70;67;85
Krabby;Agua;;105;90;50;30
Kingler;Agua;;130;115;75;55
Voltorb;Electrico;;30;50;100;40
Electrode;Electrico;;50;70;140;60
Exeggcute;Planta;Psiquico;40;80;40;60
Exeggutor;Planta;Psiquico;95;85;55;95
Cubone;Tierra;;50;95;35;50
Marowak;Tierra;;80;110;45;60
Hitmonlee;Lucha;;120;53;87;50
Hitmonchan;Lucha;;105;79;76;50
Lickitung;Normal;;55;75;30;90
Koffing;Veneno;;65;95;35;40
Weezing;Veneno;;90;120;60;65
Rhyhorn;Tierra;Roca;85;95;25;80
Rhydon;Tierra;Roca;130;120;40;105
Chansey;Normal;;5;5;50;250
Tangela;Planta;;55;115;60;65
Kangaskhan;Normal;;95;80;90;105
Horsea;Agua;;40;70;60;30
Seadra;Agua;;65;95;85;55
Goldeen;Agua;;67;60;63;45
Seaking;Agua;;92;65;68;80
Staryu;Agua;;45;55;85;30
Starmie;Agua;Psiquico;75;85;115;60
Mr. Mime;Psiquico;Hada;45;65;90;40
Scyther;Bicho;Volador;110;80;105;70
Jynx;Hielo;Psiquico;50;35;95;65
Electabuzz;Electrico;;83;57;105;65
Magmar;Fuego;;95;57;93;65
Pinsir;Bicho;;125;100;85;65
Tauros;Normal;;100;95;110;75
Magikarp;Agua;;10;55;80;20
Gyarados;Agua;Volador;125;79;81;95
Lapras;Agua;Hielo;85;80;60;130
Ditto;Normal;;48;48;48;48
Eevee;Normal;;55;50;55;55
Vaporeon;Agua;;65;60;65;130
Jolteon;Electrico;;65;60;130;65
Flareon;Fuego;;130;60;65;65
Porygon;Normal;;60;70;40;65
Omanyte;Roca;Agua;40;100;35;35
Omastar;Roca;Agua;60;125;55;70
Kabuto;Roca;Agua;80;90;55;30
Kabutops;Roca;Agua;115;105;80;60
Aerodactyl;Roca;Volador;105;65;130;80
Snorlax;Normal;;110;65;30;160
Articuno;Hielo;Volador;85;100;85;90
Zapdos;Electrico;Volador;90;85;100;90
Moltres;Fuego;Volador;100;90;90;90
Dratini;Dragon;;64;45;50;41
Dragonair;Dragon;;84;65;70;61
Dragonite;Dragon;Volador;134;95;80;91
Mewtwo;Psiquico;;110;90;130;106
